Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
basal 6 month tumor 2	GSM970475	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: basal cells;	genotype: CK5-CreERT2; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 6 months"	total RNA
basal 6 month tumor 3	GSM970476	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: basal cells;	genotype: CK5-CreERT2; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 6 months"	total RNA
basal 6 month tumor 4	GSM970477	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: basal cells;	genotype: CK5-CreERT2; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 6 months"	total RNA
basal 6 month tumor 5	GSM970478	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: basal cells;	genotype: CK5-CreERT2; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 6 months"	total RNA
basal 6 month tumor 6	GSM970479	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: basal cells;	genotype: CK5-CreERT2; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 6 months"	total RNA
luminal control 1	GSM970480	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: 5 months, no tamoxifen induction"	total RNA
luminal control 2	GSM970481	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: 5 months, no tamoxifen induction"	total RNA
luminal control 4	GSM970482	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: 5 months, no tamoxifen induction"	total RNA
luminal control 5	GSM970483	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: 5 months, no tamoxifen induction"	total RNA
luminal control 6	GSM970484	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: 5 months, no tamoxifen induction"	total RNA
luminal 1 month tumor 1	GSM970485	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 1 month tumor 2	GSM970486	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 1 month tumor 3	GSM970487	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 1 month tumor 4	GSM970488	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 1 month tumor 5	GSM970489	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 1 month tumor 6	GSM970490	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 1 months"	total RNA
luminal 3 month tumor 1	GSM970491	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
luminal 3 month tumor 2	GSM970492	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
luminal 3 month tumor 3	GSM970493	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
luminal 3 month tumor 4	GSM970494	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
luminal 3 month tumor 5	GSM970495	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
luminal 3 month tumor 6	GSM970496	GSE39509	GPL13112	SRA	prostate	Mus musculus	"strain: C57BL/6;	tissue: prostate;	cell type origin: luminal cells;	genotype: Nkx3.1-CreERT2/+; Pten flox/flox; R26R-YFP/+;	age: tamoxifen induction at 2 months, wait 3 months"	total RNA
"11.3/ MCV6, partially reprogrammed MEF"	GSM1000592	GSE39656	GPL9250	SRA	MCV6	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: partially reprogrammed mouse embryonic fibroblast;	age: embryonic;	genotype: Oct4-GFP, retrovirally-transduced with Oct4, Sox2, c-myc and Klf4"	total RNA
"11.5/ MCV8, partially reprogrammed MEF"	GSM1000593	GSE39656	GPL9250	SRA	MCV8	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: partially reprogrammed mouse embryonic fibroblast;	age: embryonic;	genotype: Oct4-GFP, retrovirally-transduced with Oct4, Sox2, c-myc and Klf4"	total RNA
"miPS MCV8.1, fully reprogrammed MEF (iPS)"	GSM1000594	GSE39656	GPL9250	SRA	MCV8.1	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: induced pluripotent stem cell;	age: reprogrammed cell;	genotype: Oct4-GFP, retrovirally-transduced with Oct4, Sox2, c-myc and Klf4"	total RNA
"MEF, used for reprogramming to MCV6/MCV8/MCV8.1"	GSM1000595	GSE39656	GPL9250	SRA	MEF	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: fibroblast;	age: embryonic;	genotype: Oct4-GFP"	total RNA
v6.5 mouse ESC replicate 1	GSM1000596	GSE39656	GPL9250	SRA	mESC v6.5	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: mESC;	age: embryonic;	genotype: wild type"	total RNA
v6.5 mouse ESC replicate 2	GSM1000597	GSE39656	GPL11002	SRA	mESC v6.5	Mus musculus	"strain: 129/svJae x C57BL/6;	tissue: mESC;	age: embryonic;	genotype: wild type"	total RNA
E14 mouse ESC replicate 1	GSM1000598	GSE39656	GPL11002	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	tissue: mESC;	age: embryonic;	genotype: wild type"	total RNA
E14 mouse ESC replicate 2	GSM1000599	GSE39656	GPL11002	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	tissue: mESC;	age: embryonic;	genotype: wild type"	total RNA
Scrambled Hairpin-treated mESCs D0	GSM976919	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Scrambled Hairpin-treated;	time: D0"	total RNA
Scrambled Hairpin-treated mESCs D3	GSM976920	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Scrambled Hairpin-treated;	time: D3"	total RNA
Scrambled Hairpin-treated mESCs D6	GSM976921	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Scrambled Hairpin-treated;	time: D6"	total RNA
Scrambled Hairpin-treated mESCs D9	GSM976922	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Scrambled Hairpin-treated;	time: D9"	total RNA
Hairpin A-treated mESCs D0	GSM976923	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin A-treated;	time: D0"	total RNA
Hairpin A-treated mESCs D3	GSM976924	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin A-treated;	time: D3"	total RNA
Hairpin A-treated mESCs D6	GSM976925	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin A-treated;	time: D6"	total RNA
Hairpin A-treated mESCs D9	GSM976926	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin A-treated;	time: D9"	total RNA
Hairpin B-treated mESCs D0	GSM976927	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin B-treated;	time: D0"	total RNA
Hairpin B-treated mESCs D3	GSM976928	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin B-treated;	time: D3"	total RNA
Hairpin B-treated mESCs D6	GSM976929	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin B-treated;	time: D6"	total RNA
Hairpin B-treated mESCs D9	GSM976930	GSE39656	GPL13112	SRA	mESC E14	Mus musculus	"strain: 129/Ola;	cell type: mESC;	age: embryonic;	treatment: Hairpin B-treated;	time: D9"	total RNA
brainKOa	GSM981180	GSE39911	GPL9250	SRA	"whole brain, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole brain"	total RNA
brainKOb	GSM981181	GSE39911	GPL9250	SRA	"whole brain, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole brain"	total RNA
brainKOc	GSM981182	GSE39911	GPL9250	SRA	"whole brain, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole brain"	total RNA
brainKOd	GSM981183	GSE39911	GPL9250	SRA	"whole brain, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole brain"	total RNA
brainKOe	GSM981184	GSE39911	GPL9250	SRA	"whole brain, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole brain"	total RNA
brainWT1	GSM981185	GSE39911	GPL9250	SRA	"whole brain, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole brain"	total RNA
brainWT2	GSM981186	GSE39911	GPL9250	SRA	"whole brain, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole brain"	total RNA
brainWT3	GSM981187	GSE39911	GPL9250	SRA	"whole brain, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole brain"	total RNA
brainWT4	GSM981188	GSE39911	GPL9250	SRA	"whole brain, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole brain"	total RNA
brainWT5	GSM981189	GSE39911	GPL9250	SRA	"whole brain, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole brain"	total RNA
heartKOa	GSM981190	GSE39911	GPL9250	SRA	"whole heart, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole heart"	total RNA
heartKOb	GSM981191	GSE39911	GPL9250	SRA	"whole heart, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole heart"	total RNA
heartKOc	GSM981192	GSE39911	GPL9250	SRA	"whole heart, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole heart"	total RNA
heartKOd	GSM981193	GSE39911	GPL9250	SRA	"whole heart, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole heart"	total RNA
heartKOe	GSM981194	GSE39911	GPL9250	SRA	"whole heart, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: whole heart"	total RNA
heartWT1	GSM981195	GSE39911	GPL9250	SRA	"whole heart, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole heart"	total RNA
heartWT2	GSM981196	GSE39911	GPL9250	SRA	"whole heart, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole heart"	total RNA
heartWT3	GSM981197	GSE39911	GPL9250	SRA	"whole heart, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole heart"	total RNA
heartWT4	GSM981198	GSE39911	GPL9250	SRA	"whole heart, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole heart"	total RNA
heartWT5	GSM981199	GSE39911	GPL9250	SRA	"whole heart, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: whole heart"	total RNA
muscleKOa	GSM981200	GSE39911	GPL9250	SRA	"vastus lateralis, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleKOb	GSM981201	GSE39911	GPL9250	SRA	"vastus lateralis, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleKOc	GSM981202	GSE39911	GPL9250	SRA	"vastus lateralis, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleKOd	GSM981203	GSE39911	GPL9250	SRA	"vastus lateralis, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleKOe	GSM981204	GSE39911	GPL9250	SRA	"vastus lateralis, Mbnl1 KO"	Mus musculus	"strain/background: 129/SvJ;	genotype: Mbnl1 knockout;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleWT1	GSM981205	GSE39911	GPL9250	SRA	"vastus lateralis, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleWT2	GSM981206	GSE39911	GPL9250	SRA	"vastus lateralis, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleWT3	GSM981207	GSE39911	GPL9250	SRA	"vastus lateralis, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleWT4	GSM981208	GSE39911	GPL9250	SRA	"vastus lateralis, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
muscleWT5	GSM981209	GSE39911	GPL9250	SRA	"vastus lateralis, WT"	Mus musculus	"strain/background: 129/SvJ;	genotype: wildtype;	age: 16 weeks;	tissue: skeletal muscle (vastus lateralis)"	total RNA
C2C12-control	GSM981210	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, control"	Mus musculus	"cell line: C2C12;	shRNA: control"	total RNA
C2C12-shMbnl1	GSM981211	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl1 depleted"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1"	total RNA
C2C12-shMbnl2	GSM981212	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl2 depleted"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl2"	total RNA
C2C12-shMbnl12	GSM981213	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1, Mbnl2"	total RNA
C2C12-control-cyto	GSM981214	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, control, cytosolic fraction"	Mus musculus	"cell line: C2C12;	shRNA: control;	subcellular fraction: cytosolic"	total RNA
C2C12-control-mem	GSM981215	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, control, membrane fraction"	Mus musculus	"cell line: C2C12;	shRNA: control;	subcellular fraction: membrane"	total RNA
C2C12-control-ins	GSM981216	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, control, insoluble fraction"	Mus musculus	"cell line: C2C12;	shRNA: control;	subcellular fraction: insoluble"	total RNA
C2C12-shMbnl12-cyto	GSM981217	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, cytosolic fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1, Mbnl2;	subcellular fraction: cytosolic"	total RNA
C2C12-shMbnl12-mem	GSM981218	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, membrane fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1, Mbnl2;	subcellular fraction: membrane"	total RNA
C2C12-shMbnl12-ins	GSM981219	GSE39911	GPL13112	SRA	"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, insoluble fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1, Mbnl2;	subcellular fraction: insoluble"	total RNA
C2C12ribo-control	GSM981231	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, control, ribosomal fraction"	Mus musculus	"cell line: C2C12;	shRNA: control;	subcellular fraction: ribosomes"	total RNA
C2C12ribo-shMbnl1	GSM981232	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl1 depleted, ribosomal fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1;	subcellular fraction: ribosomes"	total RNA
C2C12ribo-shMbnl2	GSM981233	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl2 depleted, ribosomal fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl2;	subcellular fraction: ribosomes"	total RNA
C2C12ribo-shMbnl12	GSM981234	GSE39911	GPL11002	SRA	"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, ribosomal fraction"	Mus musculus	"cell line: C2C12;	shRNA: Mbnl1, Mbnl2;	subcellular fraction: ribosomes"	total RNA
RNAseq_WTTh1	GSM994535	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper1 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs"	total RNA
RNAseq_S4KO	GSM994536	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: STAT4<tm1> (STAT4KO);	cell type: in vitro polarized T helper1 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs"	total RNA
RNAseq_WTTh1_2	GSM994537	GSE40463	GPL9250	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper1 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs"	total RNA
RNAseq_TbetKO	GSM994538	GSE40463	GPL9250	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: Tbet<tm1> (TbetKO);	cell type: in vitro polarized T helper1 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs"	total RNA
RNAseq_WTTh2	GSM994539	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper2 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th2 condition and restimulated with plate-bound CD3/28 +IL4 for 2 hrs"	total RNA
RNAseq_S6KO	GSM994540	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: Stat6<tm1> (Stat6KO);	cell type: in vitro polarized T helper2 cells for 7 days;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th2 condition and restimulated with plate-bound CD3/28 +IL4 for 2 hrs"	total RNA
RNAseq_WTTh1_controlV	GSM994541	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper1 cells for 5 days with control vector.;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs."	total RNA
RNAseq_S4KO_controlV	GSM994542	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: STAT4<tm1> (STAT4KO);	cell type: in vitro polarized T helper1 cells for 5 days with control vector.;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs."	total RNA
RNAseq_WTTh1_TbetV	GSM994543	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper1 cells for 5 days with T-bet overexpression;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs."	total RNA
RNAseq_S4KO_TbetV	GSM994544	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: STAT4<tm1> (STAT4KO);	cell type: in vitro polarized T helper1 cells for 5 days with T-bet vector.;	passages: FACS sorted naive CD4+T cells cultured in vitro for 7 days under Th1 condition and restimulated with plate-bound CD3/28 +IL12 for 2 hrs."	total RNA
RNAseq_WTTh2_controlV	GSM994545	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper2 cells for 5 days with control vector.;	passages: Gata3 overexpression vector was made in Th2 cells."	total RNA
RNAseq_S6KO_controlV	GSM994546	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: Stat6<tm1> (Stat6KO);	cell type: in vitro polarized T helper2 cells for 5 days with control vector.;	passages: Gata3 overexpression vector was made in Th2 cells."	total RNA
RNAseq_WTTh2_Gata3V	GSM994547	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: wild type;	cell type: in vitro polarized T helper2 cells for 5 days with Gata3 overexpression;	passages: Gata3 overexpression vector was made in Th2 cells."	total RNA
RNAseq_S6KO_Gata3V	GSM994548	GSE40463	GPL13112	SRA	primary CD4+ T cells from spleen and lymph nodes	Mus musculus	"strain: C57BL/6J;	genotype/variation: Stat6<tm1> (Stat6KO);	cell type: in vitro polarized T helper2 cells for 5 days with Gata3 overexpression;	passages: Gata3 overexpression vector was made in Th2 cells."	total RNA
SL2685	GSM1004867	GSE40918	GPL11002	SRA	iTreg in vitro	Mus musculus	"genotype: wt;	time_point: 48h;	application: RNA-Seq;	cell type: iTreg"	polyA RNA
SL3305	GSM1004868	GSE40918	GPL11002	SRA	iTreg in vitro	Mus musculus	"genotype: wt;	time_point: 48h;	application: RNA-Seq;	cell type: iTreg"	polyA RNA
SL2653	GSM1004869	GSE40918	GPL11002	SRA	"media only, naive CD4 T cell"	Mus musculus	"genotype: wt;	time_point: 1h;	application: RNA-Seq;	cell type: naive CD4 T cell"	polyA RNA
SL2778	GSM1004870	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: wt;	time_point: 16h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL8352	GSM1004871	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: wt;	time_point: 16h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL8354	GSM1004872	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: wt;	time_point: 16h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL2654	GSM1004873	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: wt;	time_point: 1h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL2655	GSM1004874	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: wt;	time_point: 3h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL1843	GSM1004883	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: RORg wt (+/+);	replicate_group: 1;	time_point: 48h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL1845	GSM1004884	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: RORg ko (GFP KI);	replicate_group: 3;	time_point: 48h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
SL1847	GSM1004885	GSE40918	GPL11002	SRA	Th0 in vitro	Mus musculus	"genotype: STAT3 wt (+/CD4-Cre);	replicate_group: 9;	time_point: 48h;	application: RNA-Seq;	cell type: Th0"	polyA RNA
